Starting session: experiment_mix_2_noise0.10_trial0000
Traders: ['B00', 'B01', 'B02', 'B03', 'B04', 'B05', 'B06', 'B07', 'B08', 'B09', 'S00', 'S01', 'S02', 'S03', 'S04', 'S05', 'S06', 'S07', 'S08', 'S09', 'P00', 'P01', 'P02']
Trade: time=738.52, price=169, party1=S07, party2=B04
Trade: time=746.13, price=169, party1=B03, party2=S05
Trade: time=747.26, price=185, party1=B08, party2=S00
Trade: time=748.87, price=161, party1=S09, party2=B00
Trade: time=749.91, price=159, party1=B09, party2=S06
Trade: time=753.74, price=170, party1=B04, party2=S07
Trade: time=759.22, price=141, party1=B09, party2=S08
Trade: time=763.26, price=153, party1=B03, party2=S00
Trade: time=764.43, price=130, party1=S03, party2=B05
Trade: time=766.43, price=184, party1=S00, party2=B03
Trade: time=768.09, price=194, party1=P01, party2=B05
Trade: time=772.83, price=176, party1=B02, party2=S00
Trade: time=775.22, price=176, party1=S04, party2=B08
Trade: time=777.04, price=184, party1=B07, party2=S05
Trade: time=786.13, price=194, party1=P01, party2=B06
Trade: time=791.22, price=174, party1=B07, party2=S04
Trade: time=796.48, price=160, party1=S03, party2=B00
Trade: time=802.39, price=157, party1=B03, party2=S02
Trade: time=804.00, price=168, party1=B05, party2=S00
Trade: time=817.87, price=181, party1=B04, party2=S05
Trade: time=820.43, price=154, party1=B07, party2=S08
Trade: time=836.57, price=175, party1=B05, party2=S07
Trade: time=836.61, price=164, party1=B00, party2=S03
Trade: time=845.87, price=173, party1=B09, party2=S08
Trade: time=853.00, price=183, party1=S04, party2=B07
Trade: time=856.30, price=181, party1=B06, party2=S07
Trade: time=857.70, price=154, party1=B04, party2=S00
Trade: time=858.48, price=162, party1=S08, party2=B05
Trade: time=860.26, price=172, party1=B03, party2=S02
Trade: time=860.61, price=166, party1=B01, party2=S05
Trade: time=864.17, price=169, party1=B04, party2=S04
Trade: time=866.39, price=194, party1=P01, party2=B04
Trade: time=866.91, price=194, party1=P01, party2=B06
Trade: time=868.26, price=187, party1=B03, party2=S08
Trade: time=869.48, price=175, party1=B08, party2=S02
Trade: time=879.70, price=182, party1=B03, party2=S07
Trade: time=880.91, price=171, party1=S01, party2=B07
Trade: time=884.04, price=170, party1=S03, party2=B05
Trade: time=885.22, price=181, party1=B03, party2=S04
Trade: time=889.39, price=143, party1=B00, party2=S05
Trade: time=898.61, price=194, party1=P01, party2=B00
Trade: time=900.65, price=194, party1=P01, party2=B03
Trade: time=904.91, price=176, party1=B05, party2=S01
Trade: time=907.13, price=152, party1=S06, party2=B00
Trade: time=912.00, price=174, party1=S09, party2=B02
Trade: time=912.09, price=173, party1=B01, party2=S02
Trade: time=914.04, price=164, party1=B01, party2=S05
Trade: time=914.52, price=166, party1=S04, party2=B07
Trade: time=921.48, price=190, party1=B05, party2=S00
Trade: time=924.30, price=167, party1=S03, party2=B08
Trade: time=929.70, price=164, party1=S08, party2=B02
Trade: time=930.78, price=165, party1=B03, party2=S06
Trade: time=932.48, price=144, party1=B07, party2=S04
Trade: time=933.83, price=179, party1=B00, party2=S05
Trade: time=939.83, price=182, party1=B08, party2=S09
Trade: time=941.87, price=173, party1=B02, party2=S01
Trade: time=941.91, price=157, party1=B05, party2=S02
Trade: time=947.04, price=155, party1=S08, party2=B04
Trade: time=948.57, price=167, party1=S09, party2=B04
Trade: time=949.09, price=172, party1=B01, party2=S06
Trade: time=951.96, price=163, party1=S03, party2=B05
Trade: time=952.39, price=170, party1=B09, party2=S02
Trade: time=956.57, price=194, party1=P01, party2=B07
Trade: time=959.43, price=189, party1=S04, party2=B02
Trade: time=959.70, price=167, party1=B00, party2=S07
Trade: time=961.65, price=168, party1=B03, party2=S08
Trade: time=963.74, price=153, party1=S05, party2=B09
Trade: time=967.39, price=179, party1=S00, party2=B09
Trade: time=968.48, price=150, party1=S08, party2=B09
Trade: time=971.30, price=166, party1=S01, party2=B02
Trade: time=974.70, price=187, party1=B03, party2=S02
Trade: time=975.30, price=184, party1=B01, party2=S09
Trade: time=977.52, price=162, party1=B09, party2=S09
Trade: time=978.83, price=167, party1=S04, party2=B01
Trade: time=981.26, price=180, party1=B04, party2=S07
Trade: time=983.83, price=167, party1=S09, party2=B03
Trade: time=985.74, price=159, party1=S04, party2=B06
Trade: time=987.26, price=163, party1=S01, party2=B03
Trade: time=989.13, price=174, party1=B07, party2=S08
Trade: time=990.78, price=168, party1=S02, party2=B05
Trade: time=995.70, price=163, party1=S02, party2=B08
Trade: time=1001.78, price=161, party1=B01, party2=S05
Trade: time=1008.57, price=164, party1=B07, party2=S02
Trade: time=1016.26, price=174, party1=B08, party2=S09
