Starting session: experiment_mix_1_noise0.00_trial0000
Traders: ['B00', 'B01', 'B02', 'B03', 'B04', 'B05', 'B06', 'B07', 'B08', 'B09', 'S00', 'S01', 'S02', 'S03', 'S04', 'S05', 'S06', 'S07', 'S08', 'S09', 'P00', 'P01']
Trade: time=1381.95, price=169, party1=B04, party2=S07
Trade: time=1390.36, price=169, party1=S09, party2=B02
Trade: time=1393.45, price=138, party1=S08, party2=B03
Trade: time=1402.55, price=142, party1=S01, party2=B03
Trade: time=1403.27, price=167, party1=S05, party2=B06
Trade: time=1404.95, price=156, party1=B02, party2=S04
Trade: time=1405.77, price=181, party1=P00, party2=B04
Trade: time=1406.91, price=138, party1=S05, party2=B09
Trade: time=1408.50, price=176, party1=B00, party2=S09
Trade: time=1411.59, price=153, party1=S06, party2=B03
Trade: time=1412.68, price=153, party1=B00, party2=S08
Trade: time=1416.50, price=175, party1=S03, party2=B04
Trade: time=1427.82, price=169, party1=B00, party2=S05
Trade: time=1429.91, price=168, party1=S05, party2=B05
Trade: time=1435.18, price=152, party1=B06, party2=S03
Trade: time=1442.86, price=155, party1=B02, party2=S09
Trade: time=1450.50, price=161, party1=B05, party2=S09
Trade: time=1459.86, price=157, party1=S02, party2=B05
Trade: time=1461.32, price=169, party1=S03, party2=B02
Trade: time=1463.64, price=156, party1=B06, party2=S00
Trade: time=1467.14, price=159, party1=B01, party2=S07
Trade: time=1474.27, price=167, party1=S08, party2=B07
Trade: time=1478.82, price=153, party1=B01, party2=S07
Trade: time=1479.14, price=181, party1=P00, party2=B09
Trade: time=1484.59, price=176, party1=B00, party2=S01
Trade: time=1490.91, price=164, party1=B06, party2=S05
Trade: time=1492.36, price=152, party1=S08, party2=B07
Trade: time=1493.36, price=169, party1=S09, party2=B09
Trade: time=1495.23, price=176, party1=B05, party2=S06
Trade: time=1500.32, price=158, party1=S03, party2=B07
Trade: time=1506.73, price=174, party1=B06, party2=S08
Trade: time=1510.59, price=161, party1=B01, party2=S08
Trade: time=1524.95, price=161, party1=B09, party2=S03
Trade: time=1529.64, price=162, party1=B02, party2=S06
Trade: time=1532.82, price=171, party1=B01, party2=S06
Trade: time=1536.32, price=162, party1=S08, party2=B05
Trade: time=1543.77, price=168, party1=B04, party2=S01
Trade: time=1550.09, price=158, party1=S04, party2=B03
Trade: time=1550.55, price=169, party1=S05, party2=B07
Trade: time=1550.91, price=153, party1=B09, party2=S02
Trade: time=1551.55, price=148, party1=S09, party2=B08
Trade: time=1553.18, price=166, party1=B04, party2=S04
Trade: time=1574.45, price=160, party1=B09, party2=S08
Trade: time=1579.91, price=160, party1=B00, party2=S07
Trade: time=1584.50, price=159, party1=B09, party2=S06
Trade: time=1585.18, price=152, party1=S00, party2=B01
Trade: time=1586.14, price=166, party1=B04, party2=S05
Trade: time=1595.82, price=173, party1=B04, party2=S01
Trade: time=1597.14, price=174, party1=B09, party2=S02
Trade: time=1599.73, price=172, party1=B01, party2=S00
Trade: time=1600.95, price=164, party1=B09, party2=S08
Trade: time=1602.86, price=171, party1=B00, party2=S01
Trade: time=1610.36, price=168, party1=B00, party2=S08
Trade: time=1613.59, price=173, party1=B06, party2=S06
Trade: time=1617.05, price=140, party1=S06, party2=B00
Trade: time=1621.27, price=163, party1=B00, party2=S04
Trade: time=1626.50, price=175, party1=B08, party2=S07
Trade: time=1636.45, price=159, party1=S06, party2=B03
Trade: time=1650.86, price=157, party1=B06, party2=S06
Trade: time=1653.59, price=153, party1=S01, party2=B06
Trade: time=1672.27, price=174, party1=B01, party2=S09
Trade: time=1672.77, price=167, party1=B05, party2=S07
Trade: time=1673.95, price=171, party1=S07, party2=B07
Trade: time=1676.32, price=146, party1=S00, party2=B00
Trade: time=1681.14, price=161, party1=B04, party2=S02
Trade: time=1681.64, price=161, party1=B07, party2=S03
Trade: time=1688.50, price=160, party1=B08, party2=S02
Trade: time=1689.55, price=150, party1=B09, party2=S00
